product_name,price,seller,city,Governorate,Brand,Model,RAM,Storage,Battery_Capacity,Ad_Type,Payment_Option,Warranty,Condition,page_number,url
مطلوب للشراء جديد او مستعمل بالعلبه iPhone 17 pro max,,Abed Store,Nasr City,Cairo,Apple - iPhone,17 Pro Max,More than 16,512 GB,(+) 5000 mAH,Wanted Item,Cash,Yes,New,1,https://www.dubizzle.com.eg/en/ad/%D9%85%D8%B7%D9%84%D9%88%D8%A8-%D9%84%D9%84%D8%B4%D8%B1%D8%A7%D8%A1-%D8%AC%D8%AF%D9%8A%D8%AF-%D8%A7%D9%88-%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84-%D8%A8%D8%A7%D9%84%D8%B9%D9%84%D8%A8%D9%87-iphone-17-pro-max-ID206173876.html
لو عندك ايفون او سامسونج او اوبو  مستعمل او جديد عاوز تبيعو كلمنا,,Hong Kong,Abasiya,Cairo,Other brand,N/A,N/A,N/A,N/A,Wanted Item,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/%D9%84%D9%88-%D8%B9%D9%86%D8%AF%D9%83-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D8%A7%D9%88-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-%D8%A7%D9%88-%D8%A7%D9%88%D8%A8%D9%88-%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84-%D8%A7%D9%88-%D8%AC%D8%AF%D9%8A%D8%AF-%D8%B9%D8%A7%D9%88%D8%B2-%D8%AA%D8%A8%D9%8A%D8%B9%D9%88-%D9%83%D9%84%D9%85%D9%86%D8%A7-ID205208235.html
للبيع iphone 13 _ 128GB  جديد متبرشم,"EGP 23,500",I cloud Store,Nasr City,Cairo,Apple - iPhone,N/A,N/A,N/A,N/A,For Sale,Cash,Yes,New,1,https://www.dubizzle.com.eg/en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-iphone-13-_-128gb-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%85%D8%AA%D8%A8%D8%B1%D8%B4%D9%85-ID203609139.html
مطلوب للشراء جديد او مستعمل بالعلبه 15 pro max & 16 pro max,,Abed Store,Downtown Cairo,Cairo,Apple - iPhone,N/A,N/A,N/A,N/A,Wanted Item,Cash,Yes,New,1,https://www.dubizzle.com.eg/en/ad/%D9%85%D8%B7%D9%84%D9%88%D8%A8-%D9%84%D9%84%D8%B4%D8%B1%D8%A7%D8%A1-%D8%AC%D8%AF%D9%8A%D8%AF-%D8%A7%D9%88-%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84-%D8%A8%D8%A7%D9%84%D8%B9%D9%84%D8%A8%D9%87-15-pro-max-16-pro-max-ID201765227.html
iPhone xs 256g,"EGP 8,000",kenzy travel,Heliopolis,Cairo,Apple - iPhone,XS,8,256 GB,N/A,For Sale,Cash,No,Used,1,https://www.dubizzle.com.eg/en/ad/iphone-xs-256g-ID205463458.html
الجيزة,"EGP 13,500",amr elloly,Mohandessin,Giza,OPPO,Reno12 F,12,512 GB,(+) 5000 mAH,For Sale,Cash,No,Used,1,https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9-ID206147694.html
Galaxy ZFold 7,"EGP 72,000",Harmony,3rd Settlement,New Cairo,Samsung,N/A,12,256 GB,N/A,For Sale,Cash,No,Used,1,https://www.dubizzle.com.eg/en/ad/galaxy-zfold-7-ID206164697.html
Samsung s24 ultra,"EGP 45,000",Hatem Mohamed,Sheikh Zayed,Giza,Samsung,S24 Ultra,12,256 GB,(+) 5000 mAH,For Sale,N/A,Yes,New,1,https://www.dubizzle.com.eg/en/ad/samsung-s24-ultra-ID205311027.html
iPhone 15 pro max,"EGP 53,000",Ahmed Farouk,Almazah,Cairo,Apple - iPhone,15 Pro Max,N/A,256 GB,N/A,For Sale,N/A,N/A,Used,1,https://www.dubizzle.com.eg/en/ad/iphone-15-pro-max-ID206160294.html
Oppo Find N5 Global,"EGP 74,999",الحواكمي,New Cairo,Cairo,OPPO,N/A,N/A,N/A,N/A,For Sale,Cash,Yes,Used,1,https://www.dubizzle.com.eg/en/ad/oppo-find-n5-global-ID201637091.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%8A%D9%81%D9%88%D9%86-16-%D8%A8%D8%B1%D9%88-%D9%85%D8%A7%D9%83%D8%B3-iphone-16-pro-max-ID206139920.html
17 pro,"EGP 69,000",رامي,Helmeyat El Zaytoun,Cairo,Apple - iPhone,17 Air,More than 16,512 GB,(+) 5000 mAH,For Sale,Cash,N/A,New,1,https://www.dubizzle.com.eg/en/ad/17-pro-ID206170130.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-13-mini-%D8%A8%D8%AF%D9%88%D9%86-%D8%AE%D8%B1%D8%A8%D9%88%D8%B4-%D9%85%D8%B9-%D8%AC%D8%B1%D8%A7%D8%A8-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%87%D8%AF%D9%8A%D8%A9-ID206145536.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/galaxy-flip-7-ID206146756.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/%D9%85%D8%B7%D9%84%D9%88%D8%A8-%D9%84%D9%84%D8%B4%D8%B1%D8%A7%D8%A1-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-14-%D8%A8%D8%B1%D9%88-%D9%85%D8%A7%D9%83%D8%B3-%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84-%D8%A8%D8%A3%D8%B9%D9%84%D9%89-%D8%B3%D8%B9%D8%B1-ID205875277.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-15-pro-max-%D9%86%D8%B3%D8%AE%D8%A9-%D8%AE%D8%B7%D9%8A%D9%86-ch-ID206082368.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/honor-400-lite-102025-ID206148882.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-a36-5g-%D8%A7%D8%B9%D9%84%D9%8A-%D9%86%D8%B3%D8%AE%D8%A9-8256-%D8%A8%D8%B3%D8%B9%D8%B1-%D9%85%D8%BA%D8%B1%D9%8A-%D9%84%D8%AF%D9%88%D8%A7%D8%B9%D9%8A-%D8%A7%D9%84%D8%B3%D9%81%D8%B1-%D9%88%D8%A7%D8%B1%D8%AF-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-ID206129804.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/samsung-s22-ultra-for-sale-no-vat-ID206131133.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/honor-magic-7-pro-dual-sim-51212g-blue-%D8%AC%D8%AF%D9%8A%D8%AF-%D8%A8%D8%B6%D9%85%D8%A7%D9%86-%D8%A7%D9%84%D9%88%D9%83%D9%8A%D9%84-ID205948824.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/%D9%85%D8%AF%D9%8A%D9%86%D9%87-%D8%A7%D9%84%D9%81%D8%B3%D8%B7%D8%A7%D8%B7-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-%D8%A7%D9%88%D9%84-%D9%83%D9%88%D8%B1%D9%86%D9%8A%D8%B4-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%89-%D8%A7%D9%84%D9%85%D9%86%D9%8A%D9%84-%D9%85%D8%B5%D8%B1-%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%D9%87-ID206087079.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/vivo-v60-%D8%A7%D8%B3%D8%AA%D8%B9%D9%85%D8%A7%D9%84-%D9%8A%D9%88%D9%85-%D9%85%D8%B9%D8%A7%D9%87-%D9%83%D9%84-%D8%AD%D8%A7%D8%AC%D8%AA%D9%87-ID206157468.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-16-pro-max-256-ID206161429.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-15-pro-max-256gb-titanium-blue-ID206171361.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/new-iphone-14-plus-ID204277846.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/oneplus-open-ID205967210.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-16-pro-max-%D9%85%D8%AF%D9%81%D9%88%D8%B9-%D8%A7%D9%84%D8%B6%D8%B1%D9%8A%D8%A8%D9%87-ID206158070.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-16-pro-max-ID205965382.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/honor-magic-v5-local-warranty-ID205967140.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/oppo-find-n5-dual-sim-51216g-black-white-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%85%D8%AA%D8%A8%D8%B1%D8%B4%D9%85-%D8%AE%D8%A7%D9%84%D8%B5-%D8%B6%D8%B1%D9%8A%D8%A8%D8%A9-ID205967095.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-17-pro-max-256g-ID206157091.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/z70-ultra-ID205591480.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%84%D8%AC%D9%87%D8%A7%D8%B2-%D9%8A%D8%B9%D8%AA%D8%A8%D8%B1-%D8%B2%D9%8A%D8%B1%D9%88-%D8%B1%D9%8A%D9%86%D9%88-13-5g-ID206124803.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-z-fold-5-%D8%AC%D8%AF%D9%8A%D8%AF-ID206155983.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/realme-gt5-pro-1tb-ID206138342.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/%D8%A8%D8%B3%D8%B9%D8%B1-%D9%85%D9%85%D9%8A%D8%B2-iphone-15-pro-max-%D8%B4%D8%B1%D9%8A%D8%AD%D8%AA%D9%8A%D9%86-%D8%A8%D8%B7%D8%A7%D8%B1%D9%8A%D9%87-94-%D8%AD%D8%A7%D9%84%D9%87-%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-%D8%AA%D9%85%D8%A7%D9%85%D8%A7-ID206100407.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-15-pro-max-like-new-ID206094539.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-17-pro-ID206148124.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/16-pro-max-ID206153082.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/zte-z60-ultra-leadind-version-ID203842944.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-15-pro-max-256-ID206028771.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/oneplus-12-51212-ram-%D8%AE%D8%A7%D9%84%D8%B5-%D8%B6%D8%B1%D9%8A%D8%A8%D9%87-ID205284938.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,https://www.dubizzle.com.eg/en/ad/iphone-16-pro-max-256gb-desert-titanium-%D9%85%D8%B9%D9%81%D9%89-%D8%B6%D8%B1%D9%8A%D8%A8%D8%A9-ID206173221.html
